subj_idx,Participant Private ID,age_corrected,age_group,gender,worksit,education,edu_group,ideology,ideology_num,partisanship,conservative_rating,labour_rating,libdem_rating,green_rating,reform_rating,questionnaire_attention_check,attention_start,attention_end,crt_correct,dogmatism,affective_polarisation,m_climate,m_immigration,m_punishment,m_teaculture,m_brain,m_gender,m_discrimination,m_adoption,m_selfenhancement,m_cats,s_climate,s_immigration,s_punishment,s_teaculture,s_brain,s_gender,s_discrimination,s_adoption,s_selfenhancement,s_cats,ideo_group,ideo_strength,ideo_m_climate,ideo_m_adoption,ideo_m_punishment,ideo_m_gender,ideo_m_discrimination,ideo_m_immigration,ideo_m_teaculture,ideo_m_brain,ideo_m_cats,self_m_enhancement
381,11694411,23,18-24,male,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Slightly right,5,Conservative,63,38,69,13,34,passed,Yes,Yes,1,33,20.401960690090547,Neutral,Neutral,Higher,Higher,Higher,Neutral,Neutral,Lower,Neutral,Lower,,,1,1,1,,,1,,2,Right,1,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
8,11694413,26,25-31,female,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Extremely left,1,Labour,1,75,47,82,0,passed,Yes,Yes,0,34,35.08275929855005,Higher,Lower,Higher,Higher,Higher,Higher,Lower,Lower,Lower,Lower,1,1,1,1,2,1,1,1,1,1,Left,3,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11,11694415,18,18-24,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Right,6,Conservative,96,0,22,3,86,passed,Yes,Yes,1,21,41.31634059303897,Lower,Higher,Higher,Higher,Higher,Neutral,Higher,Higher,Neutral,Higher,1,2,2,1,2,,1,2,,1,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
265,11694416,25,25-31,female,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Extremely left,1,Green,0,56,5,100,0,passed,Yes,Yes,1,18,39.94195788891676,Higher,Lower,Lower,Neutral,Higher,Higher,Lower,Lower,Lower,Lower,2,2,2,,1,2,2,2,1,1,Left,3,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
12,11694418,27,25-31,male,Self-employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Extremely right,7,Reform UK,45,5,14,23,100,passed,Yes,Yes,0,26,34.00352922859626,Higher,Higher,Higher,Higher,Higher,Neutral,Neutral,Higher,Neutral,Lower,2,2,2,2,2,,,2,,2,Right,3,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
17,11694421,25,25-31,female,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Labour,35,82,59,73,7,passed,Yes,Yes,2,26,27.205881717011124,Higher,Higher,Higher,Higher,Higher,Higher,Lower,Lower,Neutral,Lower,1,1,1,1,1,1,1,2,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
14,11694422,20,18-24,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly right,5,Conservative,60,30,47,40,0,passed,Yes,Yes,3,21,20.214846029589243,Higher,Neutral,Higher,Higher,Higher,Higher,Lower,Lower,Higher,Lower,2,,1,1,2,1,2,2,1,1,Right,1,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
267,11694426,18,18-24,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Green,26,38,49,80,0,passed,Yes,Yes,1,12,26.34843448859913,Higher,Lower,Lower,Neutral,Higher,Higher,Lower,Lower,Lower,Lower,2,2,1,,1,2,2,2,1,2,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
380,11694428,22,18-24,male,At university,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Green,53,68,47,96,7,passed,Yes,Yes,2,23,29.047547228638773,Higher,Lower,Higher,Neutral,Higher,Higher,Lower,Lower,Higher,Higher,1,1,1,,1,1,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
13,11694429,35,Above 32,female,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Slightly left,3,Liberal Democrat,12,38,39,30,18,passed,Yes,Yes,0,22,10.762899237658969,Higher,Lower,Lower,Neutral,Higher,Higher,Lower,Lower,Lower,Lower,1,1,2,,1,2,1,1,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
263,11694430,22,18-24,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,Labour,20,85,54,47,1,passed,Yes,Yes,1,24,28.917814578560392,Higher,Higher,Higher,Higher,Higher,Higher,Lower,Lower,Higher,Neutral,1,1,2,2,1,1,2,2,1,,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
268,11694436,22,18-24,male,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Plaid Cymru,0,70,60,90,0,passed,Yes,Yes,3,25,37.20215047547655,Higher,Neutral,Lower,Higher,Higher,Higher,Lower,Lower,Lower,Lower,2,,1,1,2,1,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
15,11694437,30,25-31,female,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Left,2,Green,24,46,37,83,0,passed,Yes,Yes,0,16,27.313000567495326,Higher,Lower,Lower,Neutral,Higher,Higher,Lower,Lower,Lower,Neutral,2,2,1,,1,2,2,2,1,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
335,11694449,36,Above 32,female,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,Labour,1,68,3,53,9,passed,Yes,Yes,0,26,28.045677028732968,Higher,Higher,Higher,Higher,Higher,Lower,Lower,Lower,Higher,Lower,1,1,2,2,1,1,2,2,1,2,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
19,11694450,24,18-24,female,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Plaid Cymru,0,43,45,79,0,passed,Yes,Yes,2,12,30.123744787127645,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Higher,Lower,2,2,2,2,1,2,1,2,1,2,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
18,11694453,32,Above 32,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,SNP,9,46,18,63,7,passed,Yes,Yes,2,22,22.132329294495868,Higher,Neutral,Neutral,Higher,Higher,Higher,Lower,Higher,Higher,Lower,1,,,1,1,1,1,2,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
269,11694454,32,Above 32,male,Employed,Secondary school up to 16 years (GCSEs or equivalent),ISCED 0-2,Slightly left,3,Labour,20,92,43,42,85,passed,Yes,Yes,0,23,27.557938965024217,Higher,Higher,Higher,Higher,Higher,Neutral,Lower,Neutral,Lower,Lower,1,2,2,2,1,,1,,1,2,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
271,11694459,21,18-24,male,At university,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Labour,5,86,74,59,0,passed,Yes,Yes,3,37,35.61684994493477,Higher,Lower,Lower,Higher,Higher,Neutral,Lower,Neutral,Higher,Higher,1,1,1,1,1,,2,,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
374,11694463,29,25-31,male,Employed,"Ph.D, D.Phil or equivalent",ISCED 5-8,Left,2,Labour,0,46,25,24,0,passed,Yes,Yes,3,22,17.389652095427326,Higher,Lower,Lower,Neutral,Higher,Neutral,Lower,Lower,Neutral,Lower,1,1,2,,1,,1,2,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
276,11694464,19,18-24,female,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Green,5,25,18,69,0,passed,Yes,Yes,2,14,24.483463807231196,Higher,Lower,Higher,Neutral,Neutral,Higher,Lower,Lower,Lower,Neutral,2,2,1,,,2,2,1,1,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
82,11694474,28,25-31,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Slightly right,5,Conservative,82,20,17,22,15,passed,Yes,Yes,1,20,25.51391777050322,Higher,Neutral,Higher,Higher,Higher,Higher,Lower,Lower,Higher,Lower,1,,1,2,1,2,1,1,1,1,Right,1,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
26,11694476,29,25-31,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,Liberal Democrat,40,20,70,35,55,passed,Yes,Yes,2,27,17.146428199482248,Higher,Higher,Higher,Higher,Higher,Neutral,Neutral,Higher,Lower,Lower,2,2,2,1,2,,,1,1,2,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
376,11694478,36,Above 32,female,Self-employed,Secondary school up to 16 years (GCSEs or equivalent),ISCED 0-2,Slightly left,3,Liberal Democrat,25,65,75,65,25,passed,Yes,Yes,1,23,21.540659228538015,Higher,Lower,Higher,Higher,Higher,Higher,Lower,Lower,Neutral,Lower,1,1,1,1,1,2,1,2,,2,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
378,11694481,23,18-24,male,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Extremely left,1,__other,0,10,0,40,0,passed,Yes,Yes,2,17,15.491933384829668,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Higher,Lower,2,2,2,1,2,2,2,2,2,1,Left,3,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
83,11694484,36,Above 32,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Moderate,4,Labour,58,69,51,41,35,passed,Yes,Yes,3,23,12.073110618229256,Neutral,Higher,Higher,Higher,Neutral,Lower,Neutral,Lower,Lower,Lower,,2,2,1,,1,,1,1,1,Moderate,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Higher
372,11694491,19,18-24,other,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Extremely left,1,Green,0,95,60,100,50,passed,Yes,Yes,3,22,36.11094017053558,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Lower,Higher,2,2,1,2,1,2,2,2,1,2,Left,3,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
274,11694492,19,18-24,female,In school,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,Labour,10,100,50,50,50,passed,Yes,Yes,0,23,28.5657137141714,Neutral,Higher,Higher,Higher,Higher,Higher,Lower,Lower,Higher,Lower,,1,1,2,2,2,1,2,2,2,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
373,11694493,38,Above 32,female,Unemployed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Green,0,93,42,100,0,passed,Yes,Yes,0,25,43.28510136294011,Higher,Lower,Higher,Lower,Neutral,Neutral,Lower,Lower,Neutral,Lower,2,1,1,1,,,2,2,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
30,11694494,25,25-31,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,SNP,0,66,79,78,0,passed,Yes,Yes,2,14,36.70204353983576,Higher,Lower,Higher,Neutral,Higher,Higher,Lower,Lower,Neutral,Higher,2,1,1,,1,1,2,2,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
275,11694495,22,18-24,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly right,5,Reform UK,15,5,20,55,75,passed,Yes,Yes,3,24,26.5329983228432,Neutral,Higher,Neutral,Neutral,Higher,Neutral,Higher,Neutral,Higher,Higher,,2,,,1,,1,,1,1,Right,1,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
27,11694496,25,25-31,male,Employed,Secondary school up to 16 years (GCSEs or equivalent),ISCED 0-2,Right,6,Reform UK,72,25,49,54,86,passed,Yes,Yes,3,20,20.798076834169066,Higher,Higher,Higher,Higher,Neutral,Higher,Neutral,Lower,Higher,Lower,1,2,2,1,,2,,2,1,1,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
277,11694498,32,Above 32,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,Green,9,42,58,68,1,passed,Yes,Yes,2,11,26.446927987953533,Higher,Lower,Lower,Lower,Lower,Higher,Lower,Lower,Higher,Lower,2,2,2,2,2,2,1,2,1,2,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
37,11694500,29,25-31,female,Unemployed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Labour,2,81,3,53,1,passed,Yes,Yes,0,22,33.05752561823102,Neutral,Higher,Neutral,Higher,Higher,Higher,Higher,Lower,Neutral,Neutral,,1,,1,1,2,2,2,,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
284,11694501,21,18-24,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Labour,0,10,25,45,0,passed,Yes,Yes,3,11,17.146428199482248,Higher,Lower,Lower,Lower,Higher,Higher,Lower,Lower,Lower,Neutral,2,1,1,1,2,2,2,2,1,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
80,11694503,27,25-31,female,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Labour,14,70,62,71,4,passed,Yes,Yes,1,23,29.081953166869656,Higher,Lower,Neutral,Neutral,Neutral,Higher,Lower,Lower,Lower,Lower,2,2,,,,2,2,2,1,2,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
136,11694504,25,25-31,male,Working in the household,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Right,6,Liberal Democrat,72,51,85,72,63,passed,Yes,Yes,3,29,11.253443917308159,Lower,Higher,Higher,Higher,Higher,Higher,Neutral,Lower,Neutral,Lower,1,1,1,2,2,1,,2,,2,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
29,11694507,34,Above 32,male,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Labour,17,65,49,43,1,passed,Yes,Yes,1,16,22.978250586152114,Higher,Lower,Lower,Higher,Neutral,Higher,Lower,Lower,Higher,Neutral,2,2,2,1,,2,1,1,1,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
278,11694508,37,Above 32,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Green,16,85,83,91,0,passed,Yes,Yes,2,18,38.79690709322072,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Higher,Neutral,2,2,2,2,1,2,2,2,1,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
50,11694509,37,Above 32,male,Employed,Secondary school up to 16 years (GCSEs or equivalent),ISCED 0-2,Left,2,Labour,10,85,78,77,1,passed,Yes,Yes,1,25,36.711850947616355,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Higher,Neutral,2,1,1,1,2,1,2,1,1,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
75,11694516,28,25-31,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Labour,8,68,41,93,10,passed,Yes,Yes,1,22,32.97878105691598,Higher,Higher,Lower,Higher,Higher,Higher,Lower,Higher,Neutral,Lower,2,2,1,2,1,2,1,1,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
34,11694523,30,25-31,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Moderate,4,Conservative,40,37,44,50,15,passed,Yes,Yes,0,28,11.923086848631105,Neutral,Higher,Higher,Higher,Neutral,Higher,Neutral,Neutral,Higher,Higher,,1,1,2,,1,,,1,1,Moderate,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Higher
31,11694524,37,Above 32,male,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Slightly left,3,Labour,10,80,70,70,0,passed,Yes,Yes,3,25,33.823069050575526,Higher,Lower,Lower,Higher,Lower,Higher,Lower,Lower,Neutral,Neutral,2,2,2,1,1,2,1,1,,,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
